date,resolutionnr,resolution,pagenr
1619-01-01 00:00:00,1," Een door Wiarda en Van Bueren schriftelijk ingediende remonstrantie wordt gele- zen"".   De instructie1"" en credentiebrieven' voor de gecommitteerden naar Oost-Friesland worden gearresteerd, onder voorbehoud dat zij aan Maurits voorgelegd worden. Dit gebeurt vervolgens.   Bericht wordt dat Cromhout zijn deelneming aan de bezending excuseert. Besloten wordt hem aan te schrijven11 het landsbelang te laten prevaleren en a.s. donderdag (3jan.), als de andere gecommitteerden zich in Amsterdam zullen bevinden, zich voor vertrek gereed te houden.   Goedgekeurd wordt dat Herman van Duimen de gecommitteerden als klerk zal die- nen.    De ontvanger-generaal dient aan de gecommitteerden 1000 gld. te verstrekken ter bestrijding van hun onkosten (1618 no. 4108, 3).   2A. Het concept-antwoord op het rapport van de gecommitteerden van de Synode wordt gelezen maar wegens enige bezwaren niet gearresteerd. Daar het laat is wordt de resolutie uitgesteld tot na de middag.    2B. Ter vergadering compareren wederom Maurits en Willem Lodewijk. In hun• aanwezigheid wordt het antwoord op het rapport gearresteerd a :    Gelet op het feit dat de Synode is ingesteld voor de verbreiding van de eer Gods, de handhaving van de ware christelijke religie en het bewaren van de rust en vrede in de kerk en de eenheid in het land worden de akten en decreten, zowel wereldlijk als kerke- lijk, door de Synode uitgevaardigd, goedgekeurd. 11 De akten en decreten zijn overeen- komstig de bedoelingen en resoluties van H.H.M, uitgevaardigd. De geciteerde Re- monstranten hadden en zullen aan dergelijke decreten dienen te gehoorzamen. Als zij dat niet doen zullen zij niet alleen door de kerkelijke censuur maar ook als tegenstrevers van het openbare gezag vervolgd worden. De gedeputeerden naar de Synode zullen hun last verder dienen uit te voeren en, indien de Remonstranten blijven volharden in hun ongehoorzaamheid, de opinies inzake de leer van de geciteerden dienen te extraheren uit hun geschriften en hun schriftelijke en mondelinge verklaringen op de Nationale en provinciale synodes om ze daarna te beoordelen. Ondertussen mogen de geciteerde Re- monstranten niet uit Dordrecht vertrekken, tenzij met schriftelijke toestemming van de commissarissen-politiek. Na ontbieding dienen de Remonstranten hun antwoorden ronduit te geven en hun verklaringen mondeling of schriftelijk af te leggen. Deze verkla- ring dient in de Synode aan de geci teerden te worden voorgelezen (1618 no. 4119,37).la   S.G. 6707 I (orig.; verzocht wordt op te treden ten behoeve van de vrijlating van de graaf), b   A.v. (minuut, van de hand van Joachimi). Ook in S.G. 12.453 no. 62. c   A.v. (minuut). d   A.v. (minuut). Aldaar ook een brief aan Schwartzenberch (minuut).",4
1619-01-02 00:00:00,3," Erentreiter schrijft dd. Emden 14 dec. 1618 o.s. a dat de gevangenschap van degraaf, de lichtingen door de stad Emden en andere dadelijkheden nog voortduren.  Besloten wordt de gecommitteerden hun reis te laten bespoedigen en opnieuw aanCromhout te schrijven b de commissie aan te nemen. Hij kan zich niet meer excuserendat er anders geen burgemeester te Amsterdam meer is, daar op voorstel van Maurits enmet goedkeuring van H.H.M, aan Boelens geschreven wordt zich naar Amsterdam tebegeven. In Boelens' plaats zal een ander naar de Synode gezonden worden.  Tot de bezending wordt vervolgens nog Ewsum gecommitteerd (1, 15).",5
1619-01-02 00:00:00,4," De erfgenamen van Jan Wouter Wagemaecker, die vergoeding hebben proberente krijgen voor hun bij de fortificatie van Breda afgegraven erven, krijgen uit medelijdeneenmaal 25 gld. (1618 no. 3983).",5
1619-01-02 00:00:00,5," Susanna Guens, weduwe van Gerard Geps, thans getrouwd met Pieter Adriaensz.van Hemert, krijgt brieven van voorschrijven aan Haga voor de vrijlating van haar zoonHenrick Gerrit Geps. Valckenburch mag deze zaak aan de chiaus aanbevelen ( 1618 no.2896).",5
1619-01-02 00:00:00,6, Overeenkomstig het advies van de Raad van State van 28 dec. 1618 wordt hetrekest van Jacques Douglas afgewezen (1618 no. 3977).,5
1619-01-02 00:00:00,7," De Raad van State adviseert dd. 28 dec. 1618 Caspar van Ewsum, gezien zijn kwa-liteit en zijn lange en goede staat van dienst, als overste-luitenant eenzelfde traktementals Eysinga, nl. 300 gld. per maand, te geven. Hierop wordt niet geresolveerd (1618 no.4081).",5
1619-01-02 00:00:00,8," Op de opnieuw door Robert Hindersonne ingediende memorie (hij vraagt om een-zelfde traktement als de andere Schotse kolonels in 's lands dienst) wordt besloten eersthet vroegere advies van de Raad van State te resumeren (1618 no. 4086, 17).",5
1619-01-02 00:00:00,9," De resolutie op het advies van Mauri ts, Willem Lodewijk en de Raad op de brie-ven van de stenden van Bohemen wordt op verzoek van Gelderland en enkele andereprovincies enige dagen in beraad gehouden (1618 no. 4116, 28).",5
1619-01-02 00:00:00,10, De nieuwjaarsuitkeringen zullen plaatsvinden als in het vorigejaar. Toegevoegdzal worden Eduard de Ruyt die toezicht houdt op de banken en zitplaatsen van de gede-puteerden in de Prinsenkerk. Hij krijgt hetzelfde als diegene die toezicht houdt op debanken in de Grote Kerk (66).,5
1619-01-02 00:00:00,11," De agent van de hertog van Brunswijk compareert. Krachtens zijn eerder over-handigde geloofsbrieven houdt hij de volgende propositie 3 : op 26 juli 1618 hebben degezanten van H.H.M, aan de hertog geremonstreerd hoe nodig het was dat hij zich aan-sloot bij de Unie van Evangelische vorsten. De hertog is van plan de door hem daaropgedane toezeggingen na te komen, maar de tijd voor de sluiting van de aanstaande Ne-dersaksische kreitsdag is te kort. Hij wil bovendien ook eerst zijn familieleden raadple-gen. De agent, Herman Tize genaamd Sluyter, heeft toestemming enige tijd bij H.H.M,te resideren (1618 no. 4069; 82).",5
